bandwidth,latency,packet_loss,traffic_load,failure
478.75,59.34,7.21,48.06,0
274.31,171.0,15.66,25.98,1
338.25,273.82,4.13,24.15,1
525.47,161.63,3.73,26.51,0
444.52,188.17,9.94,36.67,1
31.4,61.36,0.66,71.75,0
828.03,240.37,4.51,94.96,0
897.2,185.72,14.48,66.9,0
148.85,259.38,16.75,54.72,1
558.5,284.7,1.62,44.86,0
117.49,105.02,17.64,82.82,1
675.52,28.08,15.95,84.97,0
288.42,68.55,17.39,29.3,1
662.83,131.91,13.97,95.34,0
729.72,283.76,13.48,39.51,1
770.96,114.11,10.5,80.01,0
116.66,231.46,13.06,96.68,1
916.85,162.6,18.38,70.37,0
237.91,55.66,2.01,16.16,0
47.04,96.9,6.32,58.61,1
559.3,196.3,1.45,11.88,0
377.21,202.18,18.9,78.91,1
831.49,130.99,8.91,28.13,0
810.17,69.37,13.51,69.52,0
323.97,216.85,16.82,91.01,1
953.37,51.49,19.82,18.1,1
298.01,281.06,3.24,39.29,1
519.91,57.18,15.99,64.71,1
263.41,33.09,17.75,41.97,0
936.68,149.8,0.98,17.48,0
172.96,156.35,15.08,2.91,1
54.46,152.95,7.09,40.66,1
440.75,131.56,12.97,64.92,1
992.45,298.45,10.28,57.4,1
892.76,146.4,5.19,15.62,0
751.12,143.91,2.7,45.07,0
891.88,127.11,2.34,36.95,0
894.51,20.98,2.07,27.42,0
523.67,178.29,12.76,72.93,1
322.77,69.16,7.03,30.97,0
774.29,191.65,4.33,54.01,0
665.04,16.2,13.84,92.32,0
379.92,294.43,13.74,53.93,1
103.52,141.23,10.78,61.7,1
749.32,269.13,18.7,7.32,1
269.84,143.19,7.71,17.81,0
937.45,19.04,16.72,10.1,0
248.56,246.84,1.5,76.48,1
131.53,194.81,14.8,83.59,1
832.8,234.75,19.77,18.65,1
161.75,129.02,16.93,21.93,1
187.48,191.74,11.59,32.32,1
603.39,257.01,12.54,59.11,1
875.82,189.69,7.07,62.18,0
204.47,104.95,13.59,68.68,0
317.22,199.1,15.41,90.52,1
779.63,201.88,19.96,29.5,0
972.11,288.22,9.85,65.88,0
505.73,111.9,1.23,55.97,0
152.46,128.1,11.92,30.58,0
23.8,243.82,2.38,90.74,1
237.36,152.22,4.9,9.55,0
140.5,221.24,6.58,71.2,1
680.88,138.45,14.62,72.79,1
130.61,65.43,3.68,91.53,0
511.27,223.82,3.32,51.86,0
697.32,40.22,0.9,32.16,0
585.31,60.38,17.46,82.77,1
207.78,188.42,13.87,77.08,1
806.08,224.43,0.8,50.03,0
718.25,268.51,0.57,76.79,0
741.59,82.5,11.17,26.79,0
139.75,34.11,5.65,58.95,1
132.52,286.86,11.93,86.52,1
928.29,47.17,8.69,31.8,0
403.6,60.1,18.47,48.35,0
307.94,88.11,5.76,95.1,0
493.7,159.29,13.58,79.82,1
666.24,264.96,1.08,88.7,0
956.07,228.4,19.12,38.52,0
293.58,212.74,19.62,99.65,1
925.56,53.38,14.78,15.26,0
34.61,107.95,9.3,51.88,1
559.65,144.04,4.4,47.93,0
637.64,45.08,16.25,79.84,1
114.84,82.76,14.73,90.86,1
148.94,93.19,4.44,73.11,0
424.92,39.06,9.02,62.68,0
966.57,165.52,9.26,42.74,0
600.08,211.8,16.53,51.03,0
933.69,21.91,13.68,50.93,0
806.32,144.86,12.86,2.04,0
472.71,234.88,13.0,50.3,1
786.92,224.65,5.41,85.6,0
27.66,244.71,7.43,70.93,1
118.05,135.02,0.91,79.57,1
831.13,246.35,15.74,39.05,1
798.85,72.99,8.66,52.9,0
240.31,108.88,8.76,3.35,0
535.46,53.73,4.91,38.3,0
609.96,140.78,4.19,47.44,0
869.06,118.23,11.76,25.52,0
607.08,73.04,4.65,3.12,0
418.45,225.78,1.28,69.04,0
380.44,94.84,15.35,43.51,1
431.62,82.57,7.53,41.57,1
655.41,40.14,7.6,25.0,0
868.82,132.21,8.63,53.78,0
459.36,91.59,16.3,43.8,1
255.36,111.41,6.42,47.4,0
244.3,71.56,15.16,58.09,1
748.55,229.18,18.79,0.63,1
818.4,279.07,13.22,90.77,1
114.23,149.88,8.63,7.11,1
75.89,193.26,14.96,45.09,1
598.49,260.28,9.16,20.74,1
154.71,299.65,8.29,52.38,1
826.42,184.44,10.51,28.02,0
317.23,267.04,6.35,86.0,1
152.43,272.67,2.09,39.64,1
921.76,237.64,8.3,63.88,0
173.88,138.82,2.48,24.89,0
291.87,25.27,8.21,1.94,0
162.08,5.73,11.14,40.42,0
124.34,143.68,18.61,53.65,1
30.94,148.8,0.72,45.95,0
64.84,122.8,12.43,96.2,1
182.9,170.88,9.15,70.68,1
62.85,166.1,0.41,99.57,1
595.23,251.15,4.99,29.51,0
683.91,33.49,2.37,78.91,0
399.69,68.33,4.34,55.56,0
324.81,238.11,5.49,61.18,0
509.48,254.5,8.03,98.59,1
876.25,298.45,10.58,65.4,1
852.62,262.0,0.02,89.88,0
53.04,267.08,3.24,72.58,1
189.68,94.99,1.87,12.74,0
244.38,121.1,10.99,69.94,1
256.89,81.16,6.58,48.43,0
575.52,182.28,10.97,91.88,1
422.1,281.7,4.44,80.68,1
58.76,104.05,0.48,10.41,0
379.88,167.54,18.83,13.39,1
528.52,89.59,2.17,6.96,0
110.66,51.77,2.54,49.32,0
835.12,59.36,2.93,8.08,0
61.44,18.33,19.63,72.37,1
925.59,284.84,12.35,55.24,1
108.12,121.46,12.21,83.59,1
845.14,250.4,19.73,27.98,1
903.63,204.72,1.77,51.91,0
979.77,58.38,19.49,11.75,0
804.01,53.46,4.08,88.46,0
781.68,243.78,12.46,17.5,1
646.06,80.15,8.4,10.24,0
781.21,274.07,7.68,20.51,0
143.21,42.88,18.62,80.62,1
540.71,203.63,2.98,10.58,0
519.08,244.53,19.94,61.44,1
859.0,71.34,7.58,74.62,0
468.17,83.59,12.98,75.11,0
391.24,289.39,19.36,19.01,1
643.17,80.11,1.15,6.16,0
273.8,129.56,18.46,44.88,1
148.37,130.32,11.36,20.25,0
483.1,76.66,14.09,69.93,0
422.72,232.96,2.98,35.67,0
240.24,231.78,10.67,44.94,1
373.84,114.12,13.47,11.35,1
372.73,250.7,9.12,56.76,0
334.22,64.71,3.1,18.55,0
385.67,2.29,4.88,67.9,0
688.89,171.78,17.09,7.12,0
303.91,298.23,0.69,97.59,1
949.37,12.55,14.18,68.45,0
917.18,63.19,19.99,18.17,0
486.1,156.16,0.15,1.41,0
335.08,243.17,3.22,33.45,1
540.08,27.62,13.48,15.28,0
850.07,119.18,1.2,21.84,0
656.06,224.38,11.8,87.28,0
806.35,112.09,13.68,60.32,0
537.4,57.46,11.76,17.65,0
636.59,59.45,7.3,55.67,0
295.27,123.6,13.95,25.58,0
737.54,144.35,11.89,97.62,0
210.38,258.68,4.15,3.28,0
697.85,193.03,11.26,73.23,1
862.11,207.43,17.64,77.3,1
140.78,294.91,13.34,6.72,1
618.24,124.14,9.44,17.19,0
104.14,121.6,6.43,38.43,1
728.46,277.08,1.72,86.82,1
93.65,74.52,4.89,53.7,0
936.58,219.21,0.22,65.53,0
146.03,226.62,19.73,78.3,1
959.29,30.24,4.45,82.81,0
802.88,141.0,16.3,47.63,0
597.75,60.97,3.37,50.88,0
784.8,56.43,5.67,71.8,0
797.16,139.68,8.37,26.33,0
946.57,87.54,6.49,85.45,0
260.85,239.02,15.97,2.08,1
594.18,272.37,19.15,19.58,1
104.1,241.01,17.51,80.02,1
620.0,80.54,3.07,34.03,0
179.58,82.97,15.53,14.98,1
569.3,77.16,2.96,18.68,0
576.71,41.38,18.27,53.08,0
471.33,283.2,10.36,84.62,1
527.41,121.21,6.73,7.07,0
766.28,68.18,3.14,3.05,0
801.25,254.15,0.24,46.52,0
497.23,120.36,4.96,95.62,0
603.6,11.5,18.28,27.9,0
931.92,49.42,15.95,95.92,0
128.54,192.14,19.4,88.77,1
125.93,235.09,2.02,28.31,1
96.83,64.07,11.84,81.69,1
661.28,275.3,5.14,68.59,0
424.42,255.45,10.86,51.18,1
776.58,254.67,6.41,42.29,0
674.52,69.07,5.67,81.55,0
340.3,16.11,11.48,79.31,0
899.38,260.36,3.67,75.69,0
764.91,92.43,9.38,99.83,0
277.83,186.06,13.02,47.85,1
370.55,228.23,2.56,80.69,1
321.3,39.36,18.61,86.25,1
166.04,234.47,10.11,21.16,1
156.31,281.61,16.39,4.21,1
936.77,218.78,13.08,40.47,0
443.52,132.93,14.2,85.67,1
389.49,263.13,14.32,28.91,1
732.39,158.71,17.5,70.0,0
557.46,223.69,12.27,0.73,1
936.78,246.33,5.56,35.54,0
782.5,225.06,1.99,61.55,0
484.58,87.07,12.13,12.98,0
382.6,36.24,1.33,89.66,0
986.77,72.26,4.83,15.63,0
720.58,151.36,1.21,90.98,0
951.68,152.08,10.98,21.64,0
127.29,175.21,3.21,99.43,1
852.03,119.14,12.21,60.47,0
640.7,236.28,15.82,8.43,1
130.7,274.03,16.44,6.53,1
592.38,74.77,6.19,7.49,0
689.24,221.22,10.98,58.99,0
22.18,203.71,11.26,80.96,1
459.77,157.4,9.46,40.3,0
827.15,57.37,13.1,44.48,0
302.41,238.77,4.2,58.93,1
463.96,288.23,19.58,53.3,1
447.89,216.83,1.96,68.81,0
308.91,275.44,16.58,47.18,1
919.26,295.27,11.88,71.39,1
783.48,106.26,4.9,99.73,0
119.48,191.83,14.91,35.03,1
997.06,142.71,1.69,1.22,0
880.41,296.0,15.49,12.56,0
291.07,29.05,11.8,55.35,1
838.53,124.3,2.22,34.43,0
115.36,262.79,1.59,94.0,1
999.11,85.93,15.02,62.74,0
669.03,236.55,5.86,52.04,0
653.62,115.45,17.79,79.8,0
99.54,294.01,15.24,25.86,1
898.06,265.18,13.96,81.97,1
38.71,91.09,5.57,0.31,0
248.42,231.29,14.18,61.97,1
151.59,101.72,18.96,93.48,1
779.0,182.3,1.83,78.79,0
206.22,197.89,6.52,85.36,1
911.53,249.05,4.69,39.7,0
659.71,8.31,7.87,82.42,0
45.8,66.83,14.85,55.08,1
15.38,213.86,9.48,61.85,1
61.14,169.49,11.41,5.89,1
609.87,149.19,6.28,20.16,0
803.47,17.51,2.83,55.1,0
246.17,105.13,5.34,5.88,0
850.91,259.66,17.19,74.14,1
66.66,10.24,12.05,84.01,0
802.95,119.53,7.56,92.04,0
928.52,283.6,15.8,10.18,0
774.39,16.21,1.29,93.97,0
701.14,225.16,5.08,6.76,0
839.6,78.03,4.6,47.41,0
49.75,260.12,19.71,84.03,1
209.76,224.07,14.12,7.03,0
133.67,265.83,12.36,1.82,1
509.49,65.56,0.1,2.49,0
747.74,159.86,3.69,51.13,0
633.71,234.0,12.71,81.16,1
852.62,74.46,7.59,12.74,0
163.66,69.99,18.49,12.46,1
737.27,9.13,15.29,56.85,0
201.11,287.6,8.95,23.43,1
278.05,213.3,14.99,73.02,1
712.81,191.03,19.51,94.96,1
980.4,223.45,9.22,76.6,0
615.43,159.95,12.85,87.72,1
63.96,143.36,18.37,51.96,1
620.15,135.41,4.97,83.23,0
51.93,192.49,17.73,18.29,1
885.3,61.26,1.95,6.83,0
712.48,266.53,12.97,65.6,1
181.4,243.71,15.66,5.2,1
100.8,105.52,12.29,89.25,1
191.7,174.0,9.91,69.16,1
980.23,43.17,12.35,95.22,0
463.98,291.73,3.03,31.39,0
786.24,270.96,4.31,48.62,0
640.04,276.65,5.4,74.17,0
576.69,100.32,11.96,24.28,0
153.68,51.57,8.84,54.18,1
946.56,64.32,4.89,65.95,0
308.33,27.91,17.66,97.88,1
582.24,36.91,7.48,74.47,0
702.78,22.32,8.92,11.81,0
652.74,296.96,8.19,47.53,0
941.19,23.14,3.64,58.88,0
156.95,40.63,14.63,14.66,1
513.27,248.35,8.97,43.2,1
409.99,174.49,0.33,28.4,0
479.43,232.55,19.28,11.88,1
128.03,189.64,16.32,51.2,1
142.75,264.77,14.47,16.56,1
285.29,191.9,17.38,59.05,1
311.66,157.12,18.14,16.97,1
433.62,214.11,6.75,72.36,0
614.88,134.77,12.22,19.52,0
638.28,104.47,12.18,89.63,0
417.69,140.83,5.35,2.62,0
414.7,51.74,4.44,52.2,0
225.45,239.17,2.28,32.01,0
592.42,78.95,13.19,22.51,0
323.87,46.91,15.62,47.16,1
45.7,74.66,15.22,84.2,1
424.22,252.78,6.33,91.53,1
479.39,99.73,4.11,30.32,0
233.34,206.13,9.07,15.42,0
576.73,257.07,10.94,72.01,1
570.11,24.25,18.38,58.2,1
704.98,229.74,17.5,20.1,0
651.47,92.99,18.32,76.03,1
655.91,65.77,17.01,51.89,0
323.05,206.98,19.29,65.34,1
789.56,273.03,9.31,35.93,0
553.65,89.21,0.95,43.91,0
437.1,171.08,1.67,18.03,0
629.75,87.66,7.81,75.65,0
367.05,166.73,5.15,15.7,0
517.61,186.94,3.4,77.83,0
739.34,183.49,19.06,79.8,1
887.54,187.44,3.91,74.66,0
921.85,41.39,19.19,1.94,0
508.6,208.37,15.22,27.31,1
525.07,202.75,12.82,46.83,1
801.87,205.09,13.52,59.55,1
321.31,23.15,6.63,91.92,0
839.01,134.6,12.93,37.56,0
499.2,123.3,3.73,87.5,0
124.7,26.93,18.75,16.34,0
81.34,67.49,6.04,37.13,0
843.57,132.85,5.1,5.23,0
65.01,223.13,14.22,74.25,1
287.81,71.88,13.13,15.07,0
340.79,249.1,9.03,25.7,1
181.26,164.19,12.65,77.52,1
320.75,228.37,3.19,53.47,1
745.27,142.29,13.47,1.4,0
24.54,150.26,5.41,0.22,0
828.9,186.3,5.46,51.07,0
857.98,278.46,3.24,30.5,0
378.54,148.05,6.65,18.03,0
162.08,159.07,6.63,61.36,0
604.83,181.0,9.08,22.84,1
128.48,221.52,3.81,59.22,1
371.27,22.48,3.86,37.93,0
958.84,155.19,10.83,18.67,0
995.51,145.0,2.58,13.81,0
774.38,276.58,13.78,23.69,0
317.85,148.56,18.88,2.98,1
690.79,141.03,8.54,30.81,0
708.35,288.7,18.02,90.2,1
393.96,135.72,1.97,83.14,0
644.48,55.08,0.86,37.2,0
20.62,65.86,14.43,57.58,1
216.97,29.46,15.22,56.74,0
529.84,1.17,16.86,82.87,1
172.11,130.15,1.14,23.63,0
174.25,231.0,15.54,29.64,1
837.94,220.31,7.53,30.18,0
989.24,10.61,6.07,4.09,0
560.41,171.42,3.46,31.47,0
840.68,47.13,19.92,87.79,1
990.42,282.38,1.27,91.2,1
150.18,51.04,16.54,10.96,1
453.76,188.37,12.79,45.81,1
398.65,98.55,14.7,38.13,0
89.25,192.83,14.23,48.94,1
757.78,124.27,17.17,55.47,1
439.44,228.13,3.68,2.03,0
474.63,69.97,0.02,84.22,0
159.17,271.83,11.97,97.37,1
189.12,150.56,7.08,65.34,1
908.03,227.07,2.48,66.05,0
54.2,255.07,3.72,52.8,1
240.52,299.65,6.63,33.43,0
299.14,67.96,1.4,14.9,0
495.3,86.78,1.14,58.41,0
590.58,75.88,18.32,4.49,0
498.36,79.6,6.24,82.45,0
93.27,175.15,19.64,42.09,1
251.23,298.06,19.29,41.48,1
845.15,297.09,2.85,32.72,0
641.21,158.51,14.3,96.94,1
652.66,192.07,12.02,17.49,0
673.5,258.13,13.81,15.13,1
765.27,279.95,1.92,16.55,0
67.53,61.95,3.77,65.85,1
372.94,159.03,1.53,99.19,0
544.13,250.02,12.08,23.55,0
345.07,91.66,19.73,90.56,1
846.03,132.5,13.44,27.86,0
487.75,295.7,14.22,64.79,1
770.94,295.53,19.69,4.05,1
853.5,271.93,13.56,49.57,0
509.74,239.74,0.8,65.46,0
910.46,81.47,17.34,53.63,0
591.25,96.93,7.29,23.78,0
851.77,164.64,0.09,82.85,0
347.18,168.67,10.14,97.01,0
503.83,152.15,18.74,45.92,1
536.1,191.36,5.15,63.59,0
113.93,123.09,9.83,79.04,1
404.57,225.0,3.48,24.15,0
918.16,100.73,1.15,86.45,0
634.52,99.87,1.61,28.02,0
185.73,39.04,14.54,77.58,1
345.47,57.42,17.28,11.21,1
199.69,255.31,2.87,28.84,0
34.57,134.44,5.77,53.36,1
928.19,69.13,3.9,52.49,0
453.73,228.04,0.54,85.04,0
314.46,166.64,11.07,99.61,1
602.49,7.33,14.0,10.72,0
17.24,95.59,12.96,27.14,1
285.24,53.92,7.76,35.76,0
706.0,197.11,11.1,47.89,0
637.43,83.23,1.88,49.39,0
981.99,20.42,3.09,85.62,0
624.15,17.43,18.64,77.06,0
482.73,174.94,15.23,1.89,1
763.82,7.5,18.45,45.5,0
904.29,254.79,18.33,61.81,1
723.49,47.46,12.99,46.04,0
963.58,182.36,18.56,13.06,1
784.19,133.96,8.33,39.75,0
868.13,133.41,0.07,41.17,0
122.96,22.47,1.25,18.77,0
735.09,241.02,2.19,75.63,0
445.69,268.02,1.91,32.14,1
557.57,4.29,7.03,58.9,0
657.56,54.4,14.03,51.57,0
970.12,271.27,15.81,87.74,0
984.73,165.3,11.8,12.2,0
295.35,45.86,2.93,11.43,0
736.42,61.63,14.96,30.03,0
752.48,198.34,7.1,43.12,0
353.03,217.72,0.26,29.85,0
132.63,180.23,5.61,76.32,1
50.54,285.99,6.61,24.53,1
779.57,148.73,5.48,8.48,0
494.8,90.78,16.24,41.38,0
985.68,143.69,15.2,77.34,0
470.32,108.54,13.91,85.06,1
978.14,68.1,2.78,73.33,0
417.46,14.74,16.16,55.79,1
795.75,106.31,13.54,72.42,0
93.97,213.71,3.9,68.14,0
559.91,6.51,12.96,23.44,0
804.04,132.31,9.67,55.08,0
925.45,193.56,8.79,77.06,0
824.36,183.51,2.24,31.71,0
46.6,233.22,10.37,65.4,1
378.98,243.35,2.0,48.15,1
58.21,213.8,3.29,50.32,0
118.19,31.74,2.65,9.01,0
678.55,143.03,19.08,66.62,1
716.13,181.42,5.7,86.57,0
775.98,74.42,7.1,14.14,0
866.8,13.72,6.44,36.61,0
742.04,67.85,17.97,4.87,0
802.86,137.01,11.26,2.96,0
58.47,124.77,18.38,98.97,1
242.19,53.82,6.0,49.35,0
625.68,247.5,2.3,35.55,0
859.54,277.78,11.12,27.49,0
14.46,61.2,6.91,98.0,1
519.48,278.94,16.04,25.23,1
680.51,6.34,17.59,72.57,0
39.31,277.56,9.45,28.38,1
407.34,285.63,19.43,7.05,1
896.68,4.6,11.06,68.33,0
674.9,229.14,5.42,0.16,0
245.28,291.09,9.78,67.57,0
854.25,271.86,0.75,25.04,0
354.55,291.24,16.08,74.61,1
854.81,165.55,2.03,76.98,0
305.95,24.37,6.17,72.41,0
594.42,255.09,11.31,2.45,0
402.97,184.53,0.86,70.37,0
282.08,184.81,1.59,99.01,1
887.69,125.76,13.92,24.26,0
195.72,171.98,1.44,27.42,0
93.96,46.92,9.54,81.35,1
348.51,222.19,6.77,16.04,1
720.46,23.43,4.56,66.06,0
809.36,219.2,3.78,75.5,0
998.76,254.84,15.27,3.72,0
303.4,142.27,19.03,55.38,1
413.86,153.44,2.8,57.59,0
145.45,94.35,19.19,30.34,0
579.12,290.87,11.9,87.63,1
997.6,220.2,12.83,16.27,0
703.87,111.33,14.2,36.42,0
599.26,53.27,14.08,84.87,0
398.45,66.65,16.4,19.06,1
916.15,139.71,9.67,82.14,0
501.95,282.83,10.67,7.91,0
143.02,220.51,6.48,48.92,1
371.72,65.36,2.11,7.53,0
76.5,258.01,13.29,67.79,1
209.96,114.08,0.67,79.06,0
27.49,255.66,5.51,84.99,0
458.75,73.27,1.88,98.13,1
638.19,185.98,3.81,67.2,0
349.86,278.07,12.77,76.91,1
426.18,78.11,12.57,50.58,1
959.62,208.19,8.42,91.27,0
754.44,296.21,1.8,64.38,0
545.45,46.03,8.67,88.36,0
291.7,27.43,7.05,23.55,0
898.03,202.58,14.41,49.67,0
242.75,102.58,11.58,72.98,1
332.09,22.3,9.83,20.27,0
909.97,143.12,9.74,21.13,0
534.25,226.38,19.33,97.8,1
744.89,86.25,15.13,43.46,0
594.84,101.18,9.94,18.18,1
656.9,253.86,9.58,33.15,0
306.39,156.5,0.53,39.74,0
248.96,252.98,18.85,62.31,1
329.27,134.47,6.38,92.3,1
163.89,285.94,5.12,98.66,1
875.57,195.59,19.99,65.17,1
290.41,35.65,14.37,69.99,0
565.87,265.64,0.95,32.18,0
794.05,147.29,1.24,85.72,0
785.99,43.35,0.51,21.78,0
444.0,46.65,11.99,10.64,0
481.49,206.57,1.43,97.33,0
994.75,15.16,18.67,86.41,0
677.85,86.69,18.74,30.36,0
816.49,42.8,10.92,67.52,0
903.53,132.88,12.33,46.7,0
789.71,124.89,5.84,32.31,0
193.33,157.04,1.28,28.68,0
566.55,84.61,14.75,13.6,0
110.88,10.58,2.04,54.93,0
656.39,184.7,1.71,44.66,0
955.8,112.74,6.22,51.22,0
517.6,195.75,0.25,21.54,0
438.64,33.49,8.68,93.86,0
45.48,5.12,14.15,63.86,1
960.18,75.24,16.03,89.96,0
111.97,137.51,12.09,10.93,0
50.67,118.83,16.94,62.29,1
253.61,243.28,8.13,84.95,1
74.88,113.97,16.98,33.09,1
460.57,159.6,10.13,19.51,0
520.93,178.46,4.46,26.5,0
319.44,7.53,18.88,27.29,0
60.45,155.02,5.5,44.72,0
120.48,104.1,0.52,32.6,0
390.66,126.96,4.85,27.13,1
69.92,30.99,7.33,64.85,0
701.21,235.06,7.03,5.3,0
214.95,282.78,10.49,34.04,1
309.05,7.66,17.66,68.98,1
400.18,180.81,5.85,17.58,0
422.44,229.39,10.42,22.09,1
11.64,86.16,6.8,20.07,0
120.95,236.48,16.44,0.09,1
864.14,190.07,3.15,47.38,0
11.22,278.82,2.07,3.9,0
513.09,294.32,10.06,27.29,0
494.61,13.66,13.44,99.48,0
339.76,134.04,15.91,91.84,1
437.01,164.55,11.79,21.51,0
782.78,44.88,15.48,31.0,0
842.79,101.55,7.85,46.37,0
267.75,296.31,0.66,84.44,1
329.27,5.85,2.32,80.26,0
250.06,136.3,0.77,12.62,0
485.06,252.95,6.58,12.44,0
686.43,97.85,9.91,41.67,0
235.97,144.46,7.13,87.01,1
337.43,293.44,11.21,88.21,1
931.08,142.99,9.61,10.74,0
58.08,40.15,13.56,57.43,0
466.16,16.46,13.34,15.57,0
714.44,283.68,6.36,68.61,0
158.95,80.48,6.92,91.64,1
56.9,151.72,11.7,45.48,0
146.82,28.12,11.93,8.31,0
919.63,127.67,6.29,57.93,0
19.17,279.1,6.61,40.85,1
196.44,151.22,13.88,81.09,1
40.97,291.37,12.95,34.03,1
119.52,78.39,2.7,87.49,1
623.95,151.86,8.82,27.37,0
249.22,258.0,17.85,15.75,1
573.52,135.03,0.73,30.65,0
594.29,84.57,17.1,3.49,0
850.94,256.79,3.26,28.12,0
14.69,117.58,10.14,66.01,1
